mrr:0.027584934780074035	hit10:0.0680284515776035	hit5:0.033740652927229615	hit1:0.006930512493160679
mrr:0.039109683478849126	hit10:0.09265000911909539	hit5:0.06164508480758709	hit1:0.009301477293452489
mrr:0.04484386252947829	hit10:0.11015867225971183	hit5:0.07185847163961336	hit1:0.010395768739741018
mrr:0.047144883024368575	hit10:0.11015867225971183	hit5:0.08134233084078059	hit1:0.010213386832026264
mrr:0.053127582226972773	hit10:0.11216487324457414	hit5:0.08225424037935437	hit1:0.016961517417472188
mrr:0.059067530233711786	hit10:0.12146635053802662	hit5:0.09027904431880357	hit1:0.01987962794090826
mrr:0.06715922822870192	hit10:0.12256064198431516	hit5:0.0953857377348167	hit1:0.030093014772934523
mrr:0.07128884901274546	hit10:0.12693780776946928	hit5:0.09648002918110524	hit1:0.036293999635236183
mrr:0.07754971036006413	hit10:0.1340507021703447	hit5:0.10085719496625935	hit1:0.04030640160496079
mrr:0.07405317739395256	hit10:0.1364216669706365	hit5:0.10012766733540032	hit1:0.03757067298923947
mrr:0.07847754469298518	hit10:0.15684844063468903	hit5:0.11125296370600037	hit1:0.03811781871238373
mrr:0.0763252948514321	hit10:0.16195513405070217	hit5:0.11216487324457414	hit1:0.032099215757796826
mrr:0.08201906600557364	hit10:0.16852088272843335	hit5:0.12018967718402335	hit1:0.0370235272660952
mrr:0.08272324019654202	hit10:0.1750866314061645	hit5:0.11344154659857743	hit1:0.03793543680466898
mrr:0.09116530662380833	hit10:0.18712383731533833	hit5:0.13040306401604962	hit1:0.04158307495896407
mrr:0.08743503583229408	hit10:0.18165238008389567	hit5:0.12493160678460696	hit1:0.035564472004377165
mrr:0.09107344440466453	hit10:0.18402334488418748	hit5:0.12730257158489877	hit1:0.038664964435528
mrr:0.10006252131370338	hit10:0.18949480211563013	hit5:0.13295641072405617	hit1:0.05380266277585263
mrr:0.09201170685487559	hit10:0.19350720408535474	hit5:0.13113259164690863	hit1:0.038664964435528
mrr:0.10352409538738114	hit10:0.20098486230165968	hit5:0.13824548604778406	hit1:0.05216122560641984
mrr:0.11366856337006918	hit10:0.20992157577968265	hit5:0.14627028998723327	hit1:0.06547510486959694
mrr:0.11324426897932999	hit10:0.22031734451942367	hit5:0.146452671894948	hit1:0.06182746671530184
mrr:0.12506549939574324	hit10:0.2310778770745942	hit5:0.15885464161955135	hit1:0.0720408535473281
mrr:0.1389571074443665	hit10:0.24968083166149918	hit5:0.17727521429874157	hit1:0.08407805945650192
mrr:0.15131313889546116	hit10:0.2648185300018238	hit5:0.19332482217763997	hit1:0.09575050155024621
mrr:0.1620117067366435	hit10:0.271384278679555	hit5:0.20755061097939084	hit1:0.10468721502826919
mrr:0.17689939908441227	hit10:0.29126390662046325	hit5:0.2274302389202991	hit1:0.1183658581068758
mrr:0.19052877939105944	hit10:0.2967353638519059	hit5:0.24074411818347619	hit1:0.13259164690862665
mrr:0.20301311679195833	hit10:0.31935072040853546	hit5:0.25059274120007297	hit1:0.1413459784789349
mrr:0.20963960127763892	hit10:0.3317526901331388	hit5:0.26390662046325003	hit1:0.1480941090643808
mrr:0.22583312843979764	hit10:0.34269560459602405	hit5:0.2774028816341419	hit1:0.16560277220499725
mrr:0.22868187536681758	hit10:0.33485318256428964	hit5:0.281050519788437	hit1:0.16833850082071858
mrr:0.23868836187804054	hit10:0.35163231807404705	hit5:0.2905343789896042	hit1:0.1770928323910268
mrr:0.24463220738491434	hit10:0.35363851905890936	hit5:0.2994710924676272	hit1:0.18256428962246946
mrr:0.25124873951358295	hit10:0.37041765456866677	hit5:0.31059638883822727	hit1:0.1867590734999088
mrr:0.25682134266509554	hit10:0.36895859930694874	hit5:0.31789166514681744	hit1:0.1920481488236367
mrr:0.26222562622610035	hit10:0.36804668976837496	hit5:0.31625022797738467	hit1:0.19952580703994163
mrr:0.2590882931927054	hit10:0.3696881269378078	hit5:0.3173445194236732	hit1:0.19551340507021703
mrr:0.2674543432164548	hit10:0.37187670983038484	hit5:0.32062739376253874	hit1:0.20554440999452855
mrr:0.2669259524564989	hit10:0.370235272660952	hit5:0.32500455954769286	hit1:0.2033558271019515
mrr:0.27269449236340926	hit10:0.3762538756155389	hit5:0.330111252963706	hit1:0.20992157577968265
mrr:0.2714012037830502	hit10:0.3684114535838045	hit5:0.3266459967171257	hit1:0.21065110341054166
mrr:0.2703269637179705	hit10:0.37060003647638157	hit5:0.32682837862484043	hit1:0.20755061097939084
mrr:0.2726018287728263	hit10:0.37826007660040123	hit5:0.33467080065657484	hit1:0.2090096662411089
