mrr:0.02955057281333592	hit10:0.06310414006930512	hit5:0.03592923581980668	hit1:0.010031004924311509
mrr:0.028371755277778295	hit10:0.0700346525624658	hit5:0.04741929600583622	hit1:0.003647638154295094
mrr:0.033630234697581814	hit10:0.08152471274849535	hit5:0.05471457231442641	hit1:0.0038300200620098486
mrr:0.05517365474623455	hit10:0.11398869232172168	hit5:0.08298376801021339	hit1:0.01896771840233449
mrr:0.06654126065415067	hit10:0.1300383002006201	hit5:0.08517235090279045	hit1:0.03173445194236732
mrr:0.0728169875963074	hit10:0.14827649097209558	hit5:0.10559912456684296	hit1:0.032099215757796826
mrr:0.08826349305848524	hit10:0.1606784606966989	hit5:0.10213386832026262	hit1:0.05617362757614445
mrr:0.07462769761661049	hit10:0.14061645084807586	hit5:0.10341054167426592	hit1:0.032099215757796826
mrr:0.07975916815548757	hit10:0.16961517417472186	hit5:0.10997629035199709	hit1:0.03228159766551158
mrr:0.07346765532938217	hit10:0.1497355462338136	hit5:0.08827284333394127	hit1:0.03155207003465256
mrr:0.08500078024365436	hit10:0.1663322998358563	hit5:0.10979390844428233	hit1:0.04431880357468539
mrr:0.08925420086341648	hit10:0.18621192777676454	hit5:0.1103410541674266	hit1:0.0446835673901149
mrr:0.09875237818556065	hit10:0.19624293270107607	hit5:0.12748495349261355	hit1:0.05088455225241656
mrr:0.10911590094381475	hit10:0.2157577968265548	hit5:0.13952215940178733	hit1:0.05726791902243297
mrr:0.12142648952775523	hit10:0.24056173627576144	hit5:0.1573955863578333	hit1:0.06620463250045595
mrr:0.13286473891866363	hit10:0.26062374612438444	hit5:0.18913003830020061	hit1:0.0720408535473281
mrr:0.14530372722707688	hit10:0.2741200072952763	hit5:0.20189677184023344	hit1:0.0793361298559183
mrr:0.16401421786490591	hit10:0.2784971730804304	hit5:0.2130220682108335	hit1:0.10377530548969542
mrr:0.1711024924356148	hit10:0.292905343789896	hit5:0.213386832026263	hit1:0.10942914462885282
mrr:0.18079837118670675	hit10:0.29928871055991246	hit5:0.22615356556629582	hit1:0.11964253146087908
mrr:0.18654618477110396	hit10:0.30804304213022066	hit5:0.23983220864490243	hit1:0.12329016961517418
mrr:0.19065273842748623	hit10:0.3098668612073682	hit5:0.24530366587634506	hit1:0.12529637060003648
mrr:0.2020976101648271	hit10:0.31697975560824365	hit5:0.2577056356009484	hit1:0.13696881269378078
mrr:0.2052370135332937	hit10:0.32628123290169614	hit5:0.2591646908626664	hit1:0.13879263177092832
mrr:0.21802088178746604	hit10:0.3474375341966077	hit5:0.2737552434798468	hit1:0.15228889294182016
mrr:0.22168055987694757	hit10:0.3417836950574503	hit5:0.27156666058726975	hit1:0.15921940543498084
mrr:0.2240392907313671	hit10:0.3434251322268831	hit5:0.28086813788072224	hit1:0.15812511398869233
mrr:0.22996527618440168	hit10:0.3580156848440635	hit5:0.2843333941273026	hit1:0.1637789531278497
mrr:0.23482969316508748	hit10:0.36531096115265366	hit5:0.28688674083530913	hit1:0.16888564654386284
mrr:0.23945161213616106	hit10:0.3671347802298012	hit5:0.29782965529819444	hit1:0.17417472186759073
mrr:0.2417102486184865	hit10:0.3707824183840963	hit5:0.30330111252963704	hit1:0.17654568666788253
mrr:0.24428790234648146	hit10:0.36950574503009304	hit5:0.30567207732992885	hit1:0.17964617909903338
mrr:0.24678044711351782	hit10:0.3747948203538209	hit5:0.30621922305307314	hit1:0.18146999817618092
mrr:0.24685390942010438	hit10:0.3800838956775488	hit5:0.31661499179281416	hit1:0.17691045048331205
mrr:0.24992429863088433	hit10:0.38263724238555535	hit5:0.3186211927776765	hit1:0.18219952580703994
mrr:0.25497235158738796	hit10:0.38956775487871603	hit5:0.32919934342513224	hit1:0.18475287251504652
mrr:0.24972201137369543	hit10:0.38683202626299473	hit5:0.31825642896224693	hit1:0.18128761626846618
mrr:0.2529351972229597	hit10:0.3861024986321357	hit5:0.31989786613167975	hit1:0.18402334488418748
mrr:0.25855687550000794	hit10:0.39102681014043406	hit5:0.32628123290169614	hit1:0.19186576691592194
mrr:0.2648739987342438	hit10:0.3937625387561554	hit5:0.3374065292722962	hit1:0.19368958599306949
mrr:0.26289680116542696	hit10:0.3928506292175816	hit5:0.3332117453948568	hit1:0.19259529454678095
mrr:0.26512455207176994	hit10:0.39631588546416197	hit5:0.3328469815794273	hit1:0.1960605507933613
mrr:0.2697420698927382	hit10:0.39704541309502095	hit5:0.3417836950574503	hit1:0.20062009848623016
mrr:0.2674720342828685	hit10:0.39011490060186027	hit5:0.3364946197337224	hit1:0.19952580703994163
mrr:0.26200867116035575	hit10:0.38829108152471276	hit5:0.3237278861936896	hit1:0.19460149553164327
mrr:0.2643313194121052	hit10:0.39157395586357835	hit5:0.3350355644720044	hit1:0.19423673171621375
mrr:0.2644157600258822	hit10:0.3944920663870144	hit5:0.33485318256428964	hit1:0.194054349808499
mrr:0.2656435052247473	hit10:0.39248586540215213	hit5:0.3344884187488601	hit1:0.19861389750136788
mrr:0.26600123373933254	hit10:0.3954039759255882	hit5:0.3374065292722962	hit1:0.19624293270107607
mrr:0.26599618291472105	hit10:0.3917563377712931	hit5:0.3377712930877257	hit1:0.19624293270107607
mrr:0.26673229464619547	hit10:0.3912091920481488	hit5:0.3377712930877257	hit1:0.19989057085537115
