mrr:0.02690531220716212	hit10:0.048624267027514656	hit5:0.029950383400992334	hit1:0.006765899864682003
mrr:0.07372477674016271	hit10:0.15489400090212	hit5:0.1060893098782138	hit1:0.03112313937753721
mrr:0.08971061304128125	hit10:0.21317095173658096	hit5:0.13351375732972484	hit1:0.035182679296346414
mrr:0.09724397292123797	hit10:0.23689670726206585	hit5:0.1555254848894903	hit1:0.03761840324763194
mrr:0.10074733811904811	hit10:0.24880469102390618	hit5:0.14433919711321605	hit1:0.043391971132160576
mrr:0.11668423452655766	hit10:0.2368064952638701	hit5:0.1688768606224628	hit1:0.054217410915651784
mrr:0.13855175992492566	hit10:0.2603518267929635	hit5:0.19359494812810105	hit1:0.0799278304014434
mrr:0.14954724443797773	hit10:0.2719891745602165	hit5:0.20847992783040145	hit1:0.08768606224627876
mrr:0.16633092372213748	hit10:0.27298150654036984	hit5:0.21551646368967073	hit1:0.10744248985115021
mrr:0.1606190475918892	hit10:0.2711772665764547	hit5:0.21470455570590888	hit1:0.10311231393775372
mrr:0.17638191972112566	hit10:0.2860622462787551	hit5:0.231574199368516	hit1:0.11880920162381597
mrr:0.18463786063850132	hit10:0.2922868741542625	hit5:0.23843031123139377	hit1:0.12431213351375733
mrr:0.1943035791651573	hit10:0.28119079837618405	hit5:0.23987370320252593	hit1:0.14316644113667118
mrr:0.1944349940070941	hit10:0.2781235904375282	hit5:0.23419034731619306	hit1:0.14677492106450157
mrr:0.19950694543325492	hit10:0.2796571944068561	hit5:0.23834009923319802	hit1:0.15245827695083447
mrr:0.20279430432614956	hit10:0.269914298601714	hit5:0.23491204330175913	hit1:0.16238159675236807
mrr:0.21154761163318062	hit10:0.27956698240866035	hit5:0.24546684709066305	hit1:0.1693279206134416
mrr:0.212462231707234	hit10:0.2781235904375282	hit5:0.24546684709066305	hit1:0.17284618854307623
mrr:0.21148182226545417	hit10:0.28064952638700946	hit5:0.24682002706359946	hit1:0.16941813261163735
mrr:0.2174605442734382	hit10:0.2839873703202526	hit5:0.24952638700947227	hit1:0.17861975642760486
mrr:0.2222541655349947	hit10:0.2930085701398286	hit5:0.2589084348218313	hit1:0.18132611637347767
mrr:0.22172792052147058	hit10:0.2857916102841678	hit5:0.24934596301308073	hit1:0.18637798827244023
mrr:0.2136675865740565	hit10:0.27956698240866035	hit5:0.24276048714479026	hit1:0.17726657645466848
mrr:0.2205105699951972	hit10:0.27532701849345964	hit5:0.24889490302210193	hit1:0.18619756427604872
mrr:0.2167808408952857	hit10:0.276680198466396	hit5:0.24348218313035633	hit1:0.1837618403247632
mrr:0.21970491015680196	hit10:0.28010825439783493	hit5:0.24790257104194857	hit1:0.18565629228687416
mrr:0.22363676659931198	hit10:0.2890392422192152	hit5:0.25358592692828147	hit1:0.18854307622913846
mrr:0.2202490995210812	hit10:0.26738836265223276	hit5:0.2426702751465945	hit1:0.19115922417681552
mrr:0.22275003404536148	hit10:0.27550744248985115	hit5:0.2467298150654037	hit1:0.1914298601714028
mrr:0.2262556086808547	hit10:0.280829950383401	hit5:0.25232295895354084	hit1:0.1941362201172756
mrr:0.22208732211074983	hit10:0.2800180423996392	hit5:0.24961659900766803	hit1:0.18944519621109607
mrr:0.22330736410388227	hit10:0.27298150654036984	hit5:0.24745151105096977	hit1:0.19350473612990526
mrr:0.22266077119597516	hit10:0.27090663058186737	hit5:0.24456472710870547	hit1:0.19449706811005862
mrr:0.22436567126444712	hit10:0.27388362652232745	hit5:0.24754172304916555	hit1:0.19521876409562472
mrr:0.22517042022786807	hit10:0.2805593143888137	hit5:0.25178168696436626	hit1:0.19422643211547136
mrr:0.22552103947808497	hit10:0.2759585024808299	hit5:0.24781235904375282	hit1:0.19648173207036537
mrr:0.22673975593170148	hit10:0.2759585024808299	hit5:0.25105999097880016	hit1:0.1980153360396933
mrr:0.22909654550941536	hit10:0.2814614343707713	hit5:0.2543978349120433	hit1:0.1984663960306721
mrr:0.221182236958398	hit10:0.2691023906179522	hit5:0.24276048714479026	hit1:0.19332431213351375
mrr:0.22362142369762172	hit10:0.26964366260712674	hit5:0.24799278304014433	hit1:0.19530897609382047
mrr:0.22772728089639419	hit10:0.28119079837618405	hit5:0.25232295895354084	hit1:0.19810554803788905
mrr:0.23178176596437727	hit10:0.2839873703202526	hit5:0.25746504285069916	hit1:0.20198466396030673
mrr:0.22610701144663056	hit10:0.27794316644113665	hit5:0.25069914298601714	hit1:0.19675236806495264
mrr:0.21932417335707308	hit10:0.2654939106901218	hit5:0.24059539918809203	hit1:0.1914298601714028
mrr:0.22477582309085944	hit10:0.27054578258908435	hit5:0.2471808750563825	hit1:0.1972936400541272
mrr:0.22424547836788347	hit10:0.26946323861073523	hit5:0.24618854307622914	hit1:0.19720342805593144
mrr:0.22381077932870988	hit10:0.26648624267027515	hit5:0.24501578709968425	hit1:0.19765448804691024
mrr:0.22340017937724996	hit10:0.2692828146143437	hit5:0.2456472710870546	hit1:0.19621109607577808
mrr:0.22385666909954333	hit10:0.27253044654939107	hit5:0.2449255751014885	hit1:0.19576003608479928
mrr:0.22555638315687568	hit10:0.27280108254397833	hit5:0.24880469102390618	hit1:0.19747406405051873
mrr:0.22640253690074963	hit10:0.2728912945421741	hit5:0.24745151105096977	hit1:0.19963915200721696
mrr:0.22574584594178512	hit10:0.2726206585475868	hit5:0.2456472710870546	hit1:0.19945872801082545
mrr:0.22522306057751468	hit10:0.2682002706359946	hit5:0.2456472710870546	hit1:0.19918809201623816
mrr:0.2257785936350516	hit10:0.2713576905728462	hit5:0.24483536310329274	hit1:0.1995489400090212
mrr:0.22382335422053604	hit10:0.26720793865584125	hit5:0.2415877311682454	hit1:0.19936851601262967
mrr:0.2319417129674064	hit10:0.2792963464140731	hit5:0.2543978349120433	hit1:0.20442038791159226
mrr:0.22056085642398537	hit10:0.26964366260712674	hit5:0.24276048714479026	hit1:0.19422643211547136
mrr:0.22397630496853774	hit10:0.27018493459630133	hit5:0.24384303112313938	hit1:0.19891745602165087
mrr:0.22393967730591413	hit10:0.2722598105548038	hit5:0.24835363103292737	hit1:0.19621109607577808
mrr:0.22644284564602243	hit10:0.2733423545331529	hit5:0.2465493910690122	hit1:0.19972936400541272
mrr:0.22398800864454052	hit10:0.2713576905728462	hit5:0.24528642309427154	hit1:0.1972936400541272
mrr:0.22666947536473747	hit10:0.27388362652232745	hit5:0.24772214704555706	hit1:0.20027063599458728
mrr:0.22446963129361316	hit10:0.26946323861073523	hit5:0.2464591790708164	hit1:0.19783491204330175
mrr:0.22680312553987897	hit10:0.27731168245376636	hit5:0.2522327469553451	hit1:0.19855660802886785
mrr:0.2280818576101683	hit10:0.274064050518719	hit5:0.24754172304916555	hit1:0.20234551195308975
mrr:0.223810457741575	hit10:0.26801984663960304	hit5:0.24528642309427154	hit1:0.1979251240414975
mrr:0.2245854901493946	hit10:0.2686513306269734	hit5:0.24636896707262065	hit1:0.19720342805593144
mrr:0.22462247118569906	hit10:0.26892196662156065	hit5:0.2462787550744249	hit1:0.1984663960306721
mrr:0.22507088943466566	hit10:0.26946323861073523	hit5:0.24483536310329274	hit1:0.1995489400090212
mrr:0.22300540002074698	hit10:0.26783942264321153	hit5:0.24248985115020297	hit1:0.19720342805593144
mrr:0.22366444243612424	hit10:0.26783942264321153	hit5:0.24510599909788003	hit1:0.1972936400541272
mrr:0.22717734775118648	hit10:0.27496617050067657	hit5:0.2498872350022553	hit1:0.2
mrr:0.2229955845795517	hit10:0.2643211547135769	hit5:0.2444745151105097	hit1:0.1980153360396933
mrr:0.22285678350573027	hit10:0.2670275146594497	hit5:0.24393324312133513	hit1:0.19666215606675688
mrr:0.2259119717623379	hit10:0.2683806946323861	hit5:0.24465493910690123	hit1:0.20108254397834913
mrr:0.22313808348304567	hit10:0.2667568786648624	hit5:0.24528642309427154	hit1:0.19747406405051873
mrr:0.2233876115375147	hit10:0.2706359945872801	hit5:0.2471808750563825	hit1:0.19675236806495264
mrr:0.2245613298531888	hit10:0.2700947225981056	hit5:0.24636896707262065	hit1:0.197744700045106
mrr:0.2230547803959858	hit10:0.26693730266125393	hit5:0.24276048714479026	hit1:0.19711321605773569
mrr:0.22128509565016558	hit10:0.26756878664862427	hit5:0.24248985115020297	hit1:0.1945872801082544
mrr:0.22385169704113256	hit10:0.2632386107352278	hit5:0.24339197113216057	hit1:0.19936851601262967
mrr:0.2250501303762746	hit10:0.2759585024808299	hit5:0.24889490302210193	hit1:0.19648173207036537
mrr:0.22711057723865216	hit10:0.27054578258908435	hit5:0.2456472710870546	hit1:0.20234551195308975
mrr:0.22453048612067925	hit10:0.26720793865584125	hit5:0.24330175913396482	hit1:0.19972936400541272
mrr:0.2220851811830406	hit10:0.26423094271538117	hit5:0.24077582318448354	hit1:0.19720342805593144
mrr:0.22591257809385845	hit10:0.2679296346414073	hit5:0.24736129905277401	hit1:0.19981957600360847
mrr:0.2237239277553485	hit10:0.267298150654037	hit5:0.2423996391520072	hit1:0.1986468200270636
mrr:0.225805071874419	hit10:0.26829048263419036	hit5:0.2465493910690122	hit1:0.20054127198917457
mrr:0.22457233198444712	hit10:0.26594497068110057	hit5:0.24456472710870547	hit1:0.19918809201623816
mrr:0.2199754051204508	hit10:0.2644113667117727	hit5:0.24023455119530898	hit1:0.1941362201172756
mrr:0.2226201524755676	hit10:0.2658547586829048	hit5:0.24068561118628778	hit1:0.19738385205232295
mrr:0.22374312099939295	hit10:0.26964366260712674	hit5:0.24438430311231393	hit1:0.1972936400541272
mrr:0.22239790220681277	hit10:0.2649526387009472	hit5:0.2417681551646369	hit1:0.1980153360396933
mrr:0.221893202216543	hit10:0.2665764546684709	hit5:0.24294091114118177	hit1:0.19530897609382047
