mrr:0.05194547474626769	hit10:0.09778980604420388	hit5:0.06450157870996842	hit1:0.02165087956698241
mrr:0.0782482434113475	hit10:0.15669824086603518	hit5:0.12440234551195309	hit1:0.03770861524582769
mrr:0.07158242050453968	hit10:0.1586829048263419	hit5:0.09625620207487595	hit1:0.031664411366711775
mrr:0.08844750140654843	hit10:0.1834912043301759	hit5:0.12458276950834461	hit1:0.04230942715381146
mrr:0.09495549155029288	hit10:0.18475417230491656	hit5:0.11303563373928732	hit1:0.05087956698240866
mrr:0.09736674032854785	hit10:0.21777176364456471	hit5:0.15173658096526838	hit1:0.03897158322056834
mrr:0.12714155514824496	hit10:0.2219215155615697	hit5:0.17149300857013983	hit1:0.07505638249887235
mrr:0.1314730761223845	hit10:0.22011727559765448	hit5:0.17284618854307623	hit1:0.08155164636896707
mrr:0.15433443019695503	hit10:0.25268380694632386	hit5:0.2020748759585025	hit1:0.09923319801533605
mrr:0.14195358852790144	hit10:0.23301759133964817	hit5:0.18637798827244023	hit1:0.08930987821380243
mrr:0.15848457385151063	hit10:0.2632386107352278	hit5:0.21533603969327922	hit1:0.10049616599007669
mrr:0.17702379530237858	hit10:0.2737934145241317	hit5:0.22949932341001353	hit1:0.12214704555705909
mrr:0.17726994611142888	hit10:0.28434821831303564	hit5:0.2350022552999549	hit1:0.1187189896256202
mrr:0.1830729666050002	hit10:0.2754172304916554	hit5:0.22904826341903473	hit1:0.13098782138024356
mrr:0.19305924968085822	hit10:0.2860622462787551	hit5:0.24122688317546234	hit1:0.13793414524131709
mrr:0.1938253837383874	hit10:0.2781235904375282	hit5:0.23761840324763195	hit1:0.14596301308073975
mrr:0.20156236010285483	hit10:0.2796571944068561	hit5:0.24203879115922416	hit1:0.1555254848894903
mrr:0.2019281639824415	hit10:0.2877762742444745	hit5:0.2422192151556157	hit1:0.15606675687866486
mrr:0.19945811418184378	hit10:0.28615245827695085	hit5:0.24429409111411818	hit1:0.15164636896707262
mrr:0.2048643666987092	hit10:0.2884979702300406	hit5:0.24636896707262065	hit1:0.15859269282814614
mrr:0.21559083571692092	hit10:0.2941813261163735	hit5:0.25313486693730264	hit1:0.17158322056833558
mrr:0.207334354018843	hit10:0.29264772214704554	hit5:0.24826341903473162	hit1:0.15886332882273344
mrr:0.21790361428144914	hit10:0.2976995940460081	hit5:0.2539467749210645	hit1:0.1747406405051872
